tfopwg_disp,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2
0,112.357708,-12.69596,-5.964,0.085,-0.085,-0.076,0.072,-0.072,2459229.630046,0.001657,-0.001657,2.1713484,0.0002637,-0.0002637,2.0172196,0.3195879,-0.3195879,656.8860989,37.77821,-37.77821,5.8181633,1.9105465,-1.9105465,22601.9485814,3127.2040524,9.604,0.013,-0.013,485.735,11.9515,-11.9515,10249.0,264.7,-264.7,4.19,0.07,-0.07,2.16986,0.0725729,-0.0725729
0,122.178195,-48.802811,-4.496,0.069,-0.069,9.347,0.062,-0.062,2459987.047262,0.003748,-0.003748,3.5730141,1.28e-05,-1.28e-05,3.37,1.029,-1.029,755.0,1306.55,-1306.55,11.3113,3.24714,-3.24714,54679.3,4260.0,9.1355,0.006,-0.006,356.437,4.6175,-4.6175,9219.0,171.1,-171.1,4.14,0.07,-0.07,2.15,0.06,-0.06
0,116.110771,-36.098285,-9.231,0.048,-0.048,11.614,0.052,-0.052,2459238.831138,0.006715,-0.006715,12.6889415,0.0095088,-0.0095088,7.9201001,0.5393766,-0.5393766,3232.8527885,235.25328,-235.25328,14.0608342,15.241591,-15.241591,425.1594177,1158.1310368,10.6257,0.006,-0.006,368.646,3.784,-3.784,7601.0,135.8,-135.8,4.31,0.08,-0.08,1.53641,0.0479799,-0.0479799
0,124.726411,-37.78325,-11.278,0.045,-0.045,9.593,0.045,-0.045,2458518.96536,0.00137,-0.00137,1.10422,0.00013,-0.00013,2.37,0.062,-0.062,14177.7,843.788,-843.788,21.0448,5.22012,-5.22012,39459.3,3926.0,10.6019,0.006,-0.006,406.997,4.7245,-4.7245,6995.2,157.0,-157.0,4.07,0.55,-0.55,1.61,0.07,-0.07
0,111.716019,-50.266567,-8.018,0.049,-0.049,11.56,0.047,-0.047,2458492.78078,0.00073,-0.00073,4.95912,0.00016,-0.00016,2.509,0.13,-0.13,7440.0,197.962,-197.962,22.9123,3.28055,-3.28055,673.55,1419.0,10.6254,0.006,-0.006,360.541,2.9645,-2.9645,5889.0,124.3,-124.3,3.86,0.07,-0.07,2.0,0.09,-0.09
0,119.30075,-42.999149,-3.211,0.046,-0.046,-15.082,0.051,-0.051,2458492.90429,0.00426,-0.00426,1.90879,0.00035,-0.00035,1.909,0.231,-0.231,618.482,1.43774,-1.43774,3.34688,0.217749,-0.217749,985.807,1561.0,10.5551,0.006,-0.006,235.974,1.579,-1.579,6022.6,133.5,-133.5,4.52,0.39,-0.39,1.22,0.05,-0.05
0,120.837688,-51.345626,-23.366,0.042,-0.042,22.652,0.04,-0.04,2459303.303969,0.003015,-0.003015,1.3214483,2.31e-05,-2.31e-05,3.435,0.071,-0.071,2180.0,137.946,-137.946,21.8839,4.01475,-4.01475,35623.2,3827.0,9.697,0.006,-0.006,316.398,2.247,-2.247,5050.8,86.8,-86.8,3.56,0.4,-0.4,2.99,0.15,-0.15
0,125.434634,-51.759442,47.228,0.047,-0.047,-6.325,0.039,-0.039,2460720.807674,0.00363,-0.00363,14.2628757,3.85e-05,-3.85e-05,6.9350494,0.466316,-0.466316,913.2067174,37.2772746,-37.2772746,2.4765813,0.1510812,-0.1510812,153.2069421,980.3628831,9.9138,0.006,-0.006,105.677,0.2575,-0.2575,5690.0,129.0,-129.0,4.58,0.08,-0.08,0.853898,0.0413895,-0.0413895
0,157.098337,-51.705409,30.65,0.054,-0.054,-33.906,0.056,-0.056,2458544.48066,0.00412,-0.00412,1.01606,0.00034,-0.00034,2.843,0.278,-0.278,240.0,0.375709,-0.375709,1.20704,0.0989898,-0.0989898,2784.04,2023.0,7.9059,0.006,-0.006,23.7748,0.02025,-0.02025,4634.0,120.9,-120.9,4.64,0.09,-0.09,0.68,0.05,-0.05
0,155.831478,-57.590248,-26.184,2.184,-2.184,22.489,1.073,-1.073,2460054.783937,0.000628,-0.000628,12.1246519,1.03e-05,-1.03e-05,4.612,0.667,-0.667,7279.0,6484.95,-6484.95,17.6729,2.59688,-2.59688,207.32,1057.0,9.5706,0.006,-0.006,78.41273,2.83992,-2.83992,4807.6,60.0,-60.0,4.17,0.36,-0.36,1.07,0.03,-0.03
0,140.88389,-67.026006,-23.901,0.042,-0.042,3.03,0.047,-0.047,2459304.837939,0.002852,-0.002852,5.652623,2.54e-05,-2.54e-05,3.434,0.475,-0.475,1250.0,26.0133,-26.0133,8.94354,1.13988,-1.13988,2717.06,2011.0,9.7318,0.006,-0.006,270.771,1.6275,-1.6275,6415.4,103.2,-103.2,3.98,0.08,-0.08,1.92,0.08,-0.08
0,134.441752,-49.000578,-4.837,0.063,-0.063,4.109,0.062,-0.062,2460768.617427,0.002617,-0.002617,3.6404389,8.2e-06,-8.2e-06,2.5339234,0.5744699,-0.5744699,476.3077321,35.1115139,-35.1115139,3.7025342,0.1738907,-0.1738907,9941.2265514,2783.098027,9.8174,0.006,-0.006,363.44,4.983,-4.983,9810.0,173.7,-173.7,4.43,0.06,-0.06,1.60776,0.0427739,-0.0427739
0,147.385172,-63.306478,-19.687,0.07,-0.07,10.953,0.068,-0.068,2459331.124512,0.003174,-0.003174,1.2025238,6.7e-06,-6.7e-06,1.991,0.052,-0.052,390.0,107.57,-107.57,6.31106,1.99504,-1.99504,208477.0,5952.0,9.0211,0.006,-0.006,279.698,3.279,-3.279,9158.0,171.4,-171.4,4.32,0.07,-0.07,1.74,0.05,-0.05
0,138.402252,-55.19791,-14.189,0.065,-0.065,14.261,0.058,-0.058,2459261.801216,0.0004,-0.0004,8.30792,0.00037,-0.00037,3.228,0.089,-0.089,8350.0,160.238,-160.238,43.1068,4.42399,-4.42399,2276.25,1924.0,8.0981,0.006,-0.006,305.034,2.981,-2.981,9081.0,173.2,-173.2,3.83,0.07,-0.07,3.05,0.09,-0.09
0,128.302319,-52.714202,-9.496,0.051,-0.051,14.659,0.045,-0.045,2459985.770425,0.003745,-0.003745,1.4415577,7.4e-06,-7.4e-06,2.349,0.682,-0.682,507.0,54.9645,-54.9645,3.61078,0.26004,-0.26004,16861.8,3174.0,9.5719,0.006,-0.006,208.055,1.1015,-1.1015,6902.0,135.7,-135.7,4.25,0.09,-0.09,1.52,0.06,-0.06
0,159.887704,-32.51188,-34.609,0.053,-0.053,14.667,0.057,-0.057,2459301.544126,0.000611,-0.000611,3.7039994,3.7e-06,-3.7e-06,4.277,0.599,-0.599,7590.0,1.22092,-1.22092,17.57,0.746573,-0.746573,3546.13,2149.0,9.6306,0.006,-0.006,300.696,3.3695,-3.3695,7013.8,299.6,-299.6,4.21,0.44,-0.44,1.9,0.08,-0.08
